Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:72wqLtMtkrB0qUw6jSqM0Z,"Dynamite","Dynamite (NightTime Version)","BTS",2020-09-18,199053,67,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
spotify:track:5IAESfJjmOYu7cHyX557kz,"Take Two","Take Two","BTS",2023-06-09,229953,72,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.617,0.589,7,-5.978,1,0.0345,0.0268,0,0.378,0.566,92.991,4
spotify:track:4IJsVXbSeGPUrgwpVoHmlg,"The Planet","The Planet","BTS",2023-05-12,178156,63,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.665,0.848,0,-3.619,1,0.0708,0.000482,0,0.2,0.687,119.986,4
spotify:track:69xohKu8C1fsflYAiSNbwM,"Run BTS","Proof","BTS",2022-06-10,204939,79,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.724,0.818,8,-3.747,1,0.168,0.0201,0,0.0358,0.696,77.004,4
spotify:track:7lrqvdivAYRGEiO8JFP31G,"Boy With Luv (Feat. Halsey)","MAP OF THE SOUL : 7","BTS;Halsey",2020-02-21,229773,67,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.645,0.862,11,-4.761,0,0.0845,0.0933,0,0.193,0.803,119.947,4
spotify:track:2ngmiq1KoYn3x25VOmvd8F,"DNA","Love Yourself 結 'Answer'","BTS",2018-08-24,223122,72,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.599,0.775,1,-3.997,0,0.0542,0.022,0,0.0669,0.703,129.817,4
spotify:track:6m1TWFMeon7ai9XLOzdbiR,"FAKE LOVE","Love Yourself 轉 'Tear'","BTS",2018-05-18,242333,78,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.557,0.719,2,-4.515,0,0.0371,0.00267,0,0.306,0.345,77.502,4
spotify:track:10SRMwb9EuVS1K9rYsBfHQ,"Yet To Come","Proof","BTS",2022-06-10,193593,77,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.559,0.885,1,-4.515,1,0.189,0.0432,0,0.333,0.683,172.029,4
spotify:track:6jjYDGxVJsWS0a5wlVF5vS,"Butter","Proof","BTS",2022-06-10,164952,76,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0788,0.695,109.997,4
spotify:track:3XYRV7ZSHqIRDG87DKTtry,"Permission to Dance","Permission to Dance","BTS",2021-07-23,187585,75,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,4
spotify:track:1e8J3XClxZbFmvIHLI8CE4,"IDOL","Love Yourself 結 'Answer'","BTS",2018-08-24,222732,76,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.733,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.42,126.035,4
spotify:track:2u54HNQamwFuOMLSuhSRom,"Blood Sweat & Tears","Wings","BTS",2016-10-10,217051,77,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.584,0.885,0,-3.571,0,0.104,0.0244,0,0.357,0.605,92.9,4
spotify:track:5FVbvttjEvQ8r2BgUcJgNg,"Life Goes On","BE","BTS",2020-11-20,207481,85,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,4
spotify:track:30YLyzfEjMQsXj4ZFslAmT,"Make It Right","MAP OF THE SOUL : 7","BTS",2020-02-21,226321,65,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.639,0.706,7,-7.874,1,0.448,0.0104,0,0.132,0.259,105.782,4
spotify:track:2j1fFjWHCI9KJSwcuYAOyF,"Spring Day","You Never Walk Alone","BTS",2017-02-13,274097,76,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.539,0.846,8,-3.192,1,0.0354,0.00631,0.00000171,0.13,0.462,106.994,4
spotify:track:3G1aAxWS2Nd17FQs4PWV6X,"Run","The Most Beautiful Moment in Life Pt.2","BTS",2015-11-30,236748,73,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.554,0.878,11,-3.02,0,0.0513,0.00146,0,0.0998,0.55,132.896,4
spotify:track:3wQnyXNFXNUEOBt1pb4urq,"I Need U","The Most Beautiful Moment in Life Pt.1","BTS",2015-04-29,210986,75,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.478,0.88,5,-3.097,0,0.0739,0.0213,0,0.24,0.707,158.356,4
spotify:track:4o3Ao6wY5fbJR32fQKabfQ,"Dope","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,240020,65,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.579,0.896,10,-2.781,0,0.225,0.0272,0.00000102,0.352,0.678,153.991,4
